Date,Income,Expense,Total
12/2023,4800000,-1809000,2991000
01/2024,500000,-17286600,-16786600
02/2024,0,-32952040,-32952040
03/2024,0,-36770850,-36770850
04/2024,500000,-8086498,-7586498
05/2024,0,-28634042,-28634042
06/2024,0,-14534000,-14534000
07/2024,0,-7055976,-7055976
08/2024,600000,-21016000,-20416000
09/2024,0,-18964476,-18964476
10/2024,300000,-34098353,-33798353
11/2024,0,-32295107,-32295107
12/2024,100000,-45746414,-45646414
01/2025,0,-38254645,-38254645
02/2025,0,-13417420,-13417420
03/2025,2303000,-27998000,-25695000
04/2025,0,-53971973,-53971973
05/2025,10453000,-28287620,-17834620
06/2025,2455000,-33415097,-30960097
07/2025,0,-30732400,-30732400
08/2025,800000,-27299420,-26499420
09/2025,0,-7798500,-7798500
10/2025,0,-43783422,-43783422
11/2025,0,-3867000,-3867000